date;shop_id;stuff_id;Month
13.07.2021;OF003018;OFFMR048;7
20.07.2021;OF003018;OFFMR048;7
27.07.2021;OF003018;OFFMR048;7
03.08.2021;OF003018;OFFMR048;8
03.08.2021;OF003018;OFFMR048;8
10.08.2021;OF003018;OFFMR048;8
24.08.2021;OF003018;OFFMR048;8
31.08.2021;OF003018;OFFMR048;8
14.09.2021;OF003018;OFFMR048;9
21.09.2021;OF003018;OFFMR048;9
28.09.2021;OF003018;OFFMR048;9
05.10.2021;OF003018;OFFMR048;10
12.10.2021;OF003018;OFFMR048;10
19.10.2021;OF003018;OFFMR048;10
26.10.2021;OF003018;OFFMR048;10
09.11.2021;OF003018;OFFMR048;11
02.11.2021;OF003018;OFFMR048;11
23.11.2021;OF003018;OFFMR048;11
30.11.2021;OF003018;OFFMR048;11
18.01.2022;OF003018;OFFMR048;13
26.01.2022;OF003018;OFFMR048;13
01.02.2022;OF003018;OFFMR048;14
28.12.2021;OF003018;OFFMR048;12
21.12.2021;OF003018;OFFMR048;12
05.03.2021;OF018742;OFFTR001;3
19.03.2021;OF018743;OFFTR001;3
02.04.2021;OF018745;OFFTR001;4
23.04.2021;OF018742;OFFTR001;4
30.04.2021;OF018742;OFFTR001;4
07.05.2021;OF018742;OFFTR001;5
14.05.2021;OF018742;OFFTR001;5
21.05.2021;OF018742;OFFTR001;5
04.06.2021;OF018742;OFFTR001;6
11.06.2021;OF018742;OFFTR001;6
18.06.2021;OF018742;OFFTR001;6
25.06.2021;OF018742;OFFTR001;6
02.07.2021;OF018742;OFFTR001;7
09.07.2021;OF018742;OFFTR001;7
16.07.2021;OF018742;OFFTR001;7
23.07.2021;OF018742;OFFTR001;7
30.07.2021;OF018742;OFFTR001;7
06.08.2021;OF018742;OFFTR001;8
13.08.2021;OF018742;OFFTR001;8
20.08.2021;OF018742;OFFTR001;8
27.08.2021;OF018742;OFFTR001;8
03.09.2021;OF018742;OFFTR001;9
10.09.2021;OF018742;OFFTR001;9
17.09.2021;OF018742;OFFTR001;9
24.09.2021;OF018742;OFFTR001;9
08.10.2021;OF018742;OFFTR001;10
